# Tile should be enumerate A - S
# Dice is a value 2 - 12
#
#
#        (7)      (6) 
#       61-62-63-64-65-66-67
#       |  Q  |  R  |  S  | (5)
#    51-52-53-54-55-56-57-58-59
#(8) |  M  |  N  |  O  |  P  |
# 41-42-43-44-45-46-47-48-49-4!-4@
# |  H  |  I  |  J  |  K  |  L  |(4)
# 31-32-33-34-35-36-37-38-39-3!-3@
# (9)|  D  |  E  |  F  |  G  |
#    21-22-23-24-25-26-27-28-29
#       |  A  |  B  |  C  |(3)
#       11-12-13-14-15-16-17
#        (1)      (2) 
# 
#
# Note: the numbers (x) are the ports
#
# Resource is a value W[ood],S[tone],G[rain],B[rick],P[asture]
# Tile,Dice,Resource
A,5,s
B,8,g
C,4,b
D,2,p
E,10,s
F,3,p
G,11,w
H,6,w
I,9,g
J,11,g
K,6,w
L,12,w
M,7,d
N,4,g
O,5,s
P,9,p
Q,3,b
R,8,b
S,10,p
2,w
4,b
6,p
8,s
9,g
